김철신,SCIENCEON,순천대학교 인문예술대학,KCI,순천대학교,,
김춘남,KCI,경기복지재단,,,,
김태민,KCI,한국토지주택공사 토지주택연구원,,,,
김태선,KCI,한양대학교,,,,
김태욱,KCI,한국항공우주연구원,,,,
김태은,KCI,동양대학교,,,,
김태현,KCI,청강문화산업대학,,,,
김태호,SCIENCEON,국민대학교 기계공학부,KCI,국민대학교,,
김태황,KCI,명지대학교,,,,
김한복,KCI,중앙대학교,,,,
김해동,KCI,한국외국어대학교,,,,
김해태,KCI,영남대학교,,,,
김현규,KCI,99percent music,,,,
김현기,KCI,한국항공우주연구원,,,,
김현돈,KCI,한국폴리텍대학,,,,
김현선,KCI,김현선연구소,,,,
김현수,KCI,고려대학교,,,,
김현숙,KCI,대구대학교,,,,
김현정0,KCI,경성대학교,,,,
김현정1,KCI,연세대학교,,,,
김현희,KCI,아주대학교,,,,
김형국,KCI,창원문성대학교,,,,
김형규,KCI,한국국제협력단(KOICA),,,,
김형균,KCI,극동대학교,,,,
김형남,SCIENCEON,부산대학교 전자공학과,KCI,부산대학교,,
김형두,KCI,원광대학교,,,,
김형목,KCI,한국독립운동사연구소,,,,
김형수,KCI,중원대학교,,,,
김형식,KCI,LG전자,,,,
김혜경,KCI,경희대학교,,,,
김혜숙,KCI,성균관대학교(자연과학캠퍼스),,,,
김혜정,KCI,경인교육대학교,,,,
김호준,KCI,동국대학교,,,,
김호현,SCIENCEON,동서대학교 디지털콘텐츠학부,,,,
김홍관,KCI,성균관대학교,,,,
김홍규,KCI,한양여자대학교,,,,
김홍기,KCI,연세대학교,,,,
김홍식,KCI,한국체육대학교,,,,
김홍찬,KCI,뮌헨공과대학교 산업디자인,,,,
김홍태,SCIENCEON,한국해양과학기술원 선박해양플랜트연구소,,,,
김화숙,KCI,서울선곡초등학교,,,,
김회용,KCI,부산대학교,,,,
김효숙,KCI,홍익대학교,,,,
김효은,KCI,서강대학교,,,,
김효일,KCI,경기대학교,,,,
김효진,KCI,목포대학교,,,,
김흥태,KCI,대진대학교,,,,
김희경,KCI,아주대학교,,,,
김희동,SCIENCEON,안동대학교 기계공학과,KCI,안동대학교,,
김희연,KCI,한양대학교,,,,
김희진,KCI,,,,,
남경숙,KCI,한양대학교,,,,
남권희,KCI,경북대학교,,,,
남성진,KCI,경상대학교,,,,
남양희,KCI,이화여자대학교,,,,
남영호,KCI,경상국립대학교,,,,
남재우,KCI,창원대학교,,,,
남초롱,KCI,중앙대학교,,,,
남택진,KCI,한국과학기술원,,,,
남현도,KCI,단국대학교,,,,
남현우,KCI,순천향대학교,,,,
노기영,KCI,한림대학교,,,,
노기현,KCI,부산대학교,,,,
노명규,KCI,충남대학교,,,,
노명현,SCIENCEON,포스코 철강솔루션마케팅실 구조연구그룹,KCI,POSCO,,
노미경,KCI,인천대학교,,,,
노승관,KCI,한양대학교,,,,
노용래,SCIENCEON,경북대학교 기계공학과,KCI,경북대학교,,
노정하,KCI,경북대학교,,,,
노준용,NTIS,한국과학기술원,,,,
노철우,KCI,세명대학교,,,,
노혜정,KCI,고려대학교,,,,
노희민,KCI,한국철도기술연구원,,,,
도현미,KCI,단국대학교,,,,
라휘문,KCI,성결대학교,,,,
류광기,SCIENCEON,한밭대학교,KCI,한밭대학교,,
류길선,KCI,총신대학교,,,,
류종관,KCI,전남대학교,,,,
류지헌,KCI,전남대학교,,,,
류진순,KCI,미리내유치원,,,,
류호경,NTIS,한양대학교,,,,
류훈,KCI,성결대학교,,,,
마오페이,KCI,김&장 법률사무소,,,,
목혜정,KCI,동국대학교,,,,
문금희,KCI,세명대학교,,,,
문봉희,KCI,숙명여자대학교,,,,
문성배,SCIENCEON,한국해양대학교 항해학부,KCI,한국해양대학교,,
문성호,KCI,제주대학교,,,,
문소영,KCI,명지대학교,,,,
문영훈,KCI,부산대학교,,,,
문원규,SCIENCEON,포항공과대학교 기계공학과,KCI,포항공과대학교,,
문은배,KCI,청운대학교,,,,
문인석,KCI,연세대학교,,,,
문재승,SCIENCEON,Department of Business Administration; Daejeon University,KCI,대전대학교,,
문정민,KCI,조선대학교,,,,
문찬주,KCI,미국 코스탈 캐롤라이나대학교,,,,
민경원,KCI,순천향대학교,,,,
민경하,KCI,상명대학교,,,,
민동기,KCI,한국조선해양,,,,
민동원,NTIS,단국대학교,,,,
민재형,KCI,서강대학교,,,,
박경란,KCI,전남대학교,,,,
박경신,KCI,경희사이버대학교,,,,
박관규,KCI,한양대학교,,,,
박구만,KCI,서울과학기술대학교,,,,
박규찬,KCI,한국산업은행,,,,
박근,SCIENCEON,서울과학기술대학교 기계시스템디자인공학과,KCI,서울과학기술대학교,,
박남예0,KCI,경기대학교,,,,
박남예1,KCI,추계예술대학교,,,,
박남예2,KCI,안양대학교,,,,
박대희,KCI,고려대학교,,,,
박동국,SCIENCEON,순천대학교 공과대학,KCI,순천대학교,,
박동련,KCI,한신대학교,,,,
박동철,SCIENCEON,현대자동차,,,,
박명식,KCI,수원과학대학교,,,,
박미옥,KCI,나사렛대학교,,,,
박민주,KCI,경성대학교,,,,
박범식,SCIENCEON,AJOU University Department of NCW Engineering,KCI,아주대학교,,
박부미,KCI,동서대학교,,,,
박삼철,KCI,법무법인 율촌,,,,
박상미,KCI,서울대학교,,,,
박상신,KCI,영남대학교,,,,
박상연,KCI,육군사관학교,,,,
박상완,KCI,충남대학교,,,,
박상진,KCI,부산외국어대학교,,,,
박상후,SCIENCEON,부산대학교 기계공학부/정밀정형 및 금형가공연구센터,KCI,부산대학교,,
박석태,KCI,충북보건과학대학교,,,,
박성욱0,KCI,경희대학교,,,,
박성욱1,KCI,국립수산과학원,,,,
박성원,KCI,성균관대학교,,,,
박성은,KCI,상명대학교 교양대학,,,,
박성희0,KCI,고려대학교,,,,
박성희1,KCI,숙명여자대학교,,,,
박세화,KCI,충남대학교,,,,
박수빈,SCIENCEON,부산대학교 주거환경학과 및 노인생활환경연구소,KCI,부산대학교,,
박수영,KCI,동국대학교,,,,
박수진0,KCI,인제대학교,,,,
박수진1,KCI,이화여자대학교,,,,
박수현,SCIENCEON,동서대학교 컴퓨터공학부,,,,
박승옥,KCI,홍익대학교,,,,
박승호,KCI,이화여자대학교,,,,
박시균,KCI,군산대학교,,,,
박영우,NTIS,충남대학교,,,,
박영진0,SCIENCEON,KAIST 기계공학과,KCI,한국과학기술원,,
박영진1,KCI,용인대학교,,,,
박은규,KCI,경북대학교,,,,
박은실0,KCI,대전흥도초등학교,,,,
박은실1,KCI,광주여자대학교,,,,
박재국,KCI,부산대학교,,,,
박재현,KCI,경남과학기술대학교,,,,
박전열,KCI,중앙대학교,,,,
박정권,KCI,백석예술대학교,,,,
박정수,KCI,이화여자대학교,,,,
박정우,KCI,연세대학교,,,,
박종수,KCI,인하공업전문대학,,,,
박종희,KCI,원광대학교,,,,
박주한,SCIENCEON,동서대학교,KCI,동서대학교,,
박준호,KCI,한국과학기술원,,,,
박지애,KCI,김현선디자인연구소,,,,
박지현,SCIENCEON,신성대학교 안경광학과,KCI,신성대학교,,
